DOI,authors,cate_code,db,keywords,magazine,mentor,organs,special,subject,summary,title,type,uid,url,year
10.16595/j.1671-055x.2019.06.003,张鹏-34613829&刘平清-38423983,O212.7,,符号检验-tv6OpzB2yCe6y%mmd2FtdVqNbYuJrTT%mmd2BIexF5wxkWHZQKsmRcfz0wwwXvkTt2aY%mmd2FRhR1q;最短区间估计-CBgebKzgAO3bUsGCC6x4hFvWD2XBnYpI7qLgzGvBgIqGeZ4kkLO0aL2grDvShoTDkaITabjDiwM=;趋势检验-swYl8FgEpGvXVyIoM2JKZ84J8Q1k626mOkmC%mmd2FRqZKiwusT13izKnm80u5b5mQveX,六盘水师范学院学报-pcode=CJFQ&pykm=LPSS,,,社会科学Ⅱ辑; 基础科学,数学,"从符号检验出发,在理论上推导出分位点在样本容量和显著性水平一定时的最短区间估计模型,并与一般分位点区间估计形式做比较。发现中位数的常用区间估计形式与最短区间估计重合,且与样本容量无关;而在其他分位点考虑最短区间估计具有一定意义。利用趋势检验说明,随着分位点趋于0.5,一般区间估计形式与最短区间估计的不一致性在减弱。",基于符号检验对分位数最短区间估计的探讨,journal,0a3862d5f3b4509b87782ca8413abfcd,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=LPSS201906004&DbName=CJFDLAST2020&DbCode=CJFQ,2020
10.16011/j.cnki.jjwt.2020.01.002,彭树远-43505879,F224;F426.2,,全要素能源效率-QOniPP6m8HLec0s0P0D47pDwjSFJJuUMkzOgjT74TklO0xqjE5A9NYxvcBzh40ISRw%mmd2Fp7IndSDg=;非期望混合距离SBM模型-oGwjcOY%mmd2Bj9Psp0nOx8Wgo41XTf1HAYtgPuCqGzknLVMR4U%mmd2FyXugJhdNzU6P5bvABZ9ezEYV0YIzqRp8mszeEkQ==;三阶段DEA方法-UJs3qp12jYcGRNfy%mmd2FTFlppUvWiq8ChiTQRIaolFKFbDLPiHfEascj4kmVkx2YksfqlOCBmHTV68=,经济问题-pcode=CJFQ&pykm=JJWT,,,经济与管理科学; 基础科学; 工程科技Ⅱ辑,数学; 动力工程; 宏观经济管理与可持续发展; 工业经济,"采用三阶段全局UHSBM模型,在考虑污染物排放与能源要素投入之间不可分性的基础上对我国省域全要素能源效率进行测算,并将当期SBM模型、当期SBM-Undesirable模型、当期UHSBM模型所得结果与其进行了对比分析。研究发现:我国省域全要素能源效率整体存在明显的持续上升趋势,但各区域之间差异较大;环境规制强度、对外开放程度的增强有助于全要素能源效率的提升,第二产业比重、煤炭消费比重的增加则相反,国有资本占比的提升同时存在两方面影响;排除环境因素和随机因素的影响后,我国绝大部分省份全要素能源效率都有所下降,同时区域间差距进一步拉大;忽视非期望产出、投入产出间的不可分性的影响以及在面板数据中使用当期DEA方法都会导致对全要素能源效率的高估。",我国省域全要素能源效率研究——基于三阶段全局UHSBM模型,journal,79042192e6885d53aef50a1166de3951,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=JJWT202001003&DbName=CJFDLAST2020&DbCode=CJFQ,2020
10.14178/j.cnki.issn1007-2101.2020.01.015,景维民-08107571;08107571&宫东真-43707264,F224;F273.1,,技术创新质量-JR3IE1aUX0gbgc1BgBJWkWALInHMEG21Eh8EfnQ2xeMYg%mmd2BW0TjvbEdg%mmd2FE7aD0TGOlVt0yJRvyU8=;全要素生产率-QOniPP6m8HKx2ts0AcKaAlma5c%mmd2FVfjWDaRcGBlqj0d%mmd2Fri%mmd2FiHZBAYd7t1NZ0QCnyeYdfFx577wuA=;治理转型-pZeY791vNJm3A%mmd2BonXZr110jj%mmd2F5Y0ESYFH%mmd2FsQc8ByLYVkVw46ginGWt0arXvjGlI0;技术依赖-cUtltd19CK1DY%mmd2FFOxPAH4SrK4mU5HdnligMmQGDQAJtZzASpTXvljNE7NQVGZLSv,河北经贸大学学报-pcode=CJFQ&pykm=HBJM,,南开大学经济学院;南开大学中国特色社会主义经济发展协同创新中心,经济与管理; 理工A(数学物理力学天地生),数学; 宏观经济管理与可持续发展; 企业经济,"我国进入新时代,技术创新质量对企业全要素生产率具有越来越重要的作用,考虑到目前政府治理转型推进和国外技术限制趋紧,分析了技术创新质量与企业全要素生产率关系中政府治理转型和对外技术依赖程度的调节作用。运用上市公司2000—2018年数据,发现随着技术创新数量的增加,技术创新质量对企业全要素生产率的影响越来越显著。治理转型程度越高,技术创新质量越能提高企业全要素生产率;对外技术依赖程度越低,技术创新质量越能促进企业全要素生产率的提高。利用动态面板广义矩估计方法进行稳健性检验,结果依旧显著。异质性分析发现半导体与半导体生产设备、技术硬件与设备、汽车与汽车零部件等行业的企业全要素生产率较低且其技术创新质量对企业全要素生产率影响较大,亟需技术创新质量的增强。",治理转型、对外技术依赖与技术创新质量——基于对企业全要素生产率的作用分析,journal,1567e3f6c62b54e79d5beacebd1ed510,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=HBJM202001004&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,张慧军-35366977,O157.5,,可视分析-v%mmd2FgbmanBP5KdvStpiyax%mmd2Booym4cNCXGIp%mmd2B5Gl4ZIyKLayvfT86sjfMm%mmd2FZy8n4TEn;网络拓扑-u%mmd2FNjuIUQj8tKMfsPSBV46fFKRbMstZckAaF%mmd2B6k2VdqIbBfMKAiUonONFnKFraZkL;网络语义-JIfkwyZOWZw34QQIAY0LpCQYF%mmd2FkrKtrrYr%mmd2FshebmaOl%mmd2BE%mmd2BqOj3nwVb%mmd2Bpc1WmYT4y;社团发现-jl8UGATPh7spzyrZGSDc5oNaMP8oFD5Z2gK9gya2n6k0hMFUsE8EcC44MnAURtrc,电子技术与软件工程-pcode=CJFQ&pykm=DZRU,,,信息科技; 基础科学,数学,"本文提出了一种融合拓扑信息和语义信息的网络社团可视分析方法,该方法包括拓扑空间可视化和语义空间可视化两部分。这两个空间的协调交互,可以帮助用户实现自顶向下的社团解释和自底向上的社团调整两种分析。",基于拓扑和语义信息的网络社团可视分析方法,journal,82c9f5f290135e5fb568a179667e9873,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=DZRU201924015&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,彭鹏-37114073&徐定华-10757585,O175.2;TS941.731.3,,反常热扩散-EgEHstC3QrHVrpxEiDPdEjDsQUjLg9aMj5%mmd2FtPuqQjoIvUGjOJts5iJerjRqrVAaA;分数阶Robin边界条件-FZ5BZuLGEoo64Rr4W%mmd2B3XZA9dCHV7FNevo9fj6xinzaG5lt8tgAOGk%mmd2B0mVSNDe5JQcdqieFFMl0Od2HYJDXabrg==;空间分数阶模型-l7g679BnVFUyDQyb2rabrBvG%mmd2BEOssXONWRi5EJ%mmd2FOmXYX%mmd2B%mmd2FSjTdp%mmd2Fh1GUGn0%mmd2FLpD68uSDpWblo%mmd2B4=;变分形式-RCpTU5DcPDqLQHWV6R5A5XRgVm7OTc9jTO4Y4IFwrdMPJR%mmd2BGiRX30Z4I9Zk8yNh8;弱解-7MFyn9Px1FRkIimIFBaiLbs9%mmd2F6NWuyamOA58oYa5dmKwIAmykZI%mmd2B%mmd2FQ==,浙江理工大学学报(自然科学版)-pcode=CJFQ&pykm=ZJSG,,,基础科学; 工程科技Ⅱ辑; 工程科技Ⅰ辑,数学; 轻工业手工业,"根据连续时间随机游走理论,建立热防护服中具有反常热扩散规律和分数阶Robin边界条件的空间分数阶模型,用以描述高温环境下各向同性材料内部及边界上的热传递规律。针对该模型,首先提出了该模型的变分形式,并通过乘以一个简单函数因子,消除了此模型齐次问题的奇异性,给出了变分问题弱解的定义;然后根据分数阶导数算子和分数阶积分算子的性质证明了该模型的条件适定性,即弱解的能量估计和弱解的唯一性。反常扩散方程Robin问题的条件适定性结果有利于分析数值算法的收敛性,并为热防护服性能评估提供理论指导。",热防护服中反常热扩散方程Robin问题的条件适定性,journal,e1f51621b3a653ab834b3cec765ffcd5,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=ZJSG202002019&DbName=CJFDLAST2020&DbCode=CJFQ,2020
10.16800/j.cnki.jqustss.2019.04.002,李勋来-10652303&张梦琦-37954078&李泓霖-43702719,X321;F127;F224,,城市绿色创新效率-3nnrgIWLNfQC%mmd2FQQzqt4NINmRVA4dGCX4oDoQPywuzaaLc8%mmd2Fd3jC8tnPKXKuFuT5vd%mmd2BBz1JfNATtF19r4bDihgQ==;DEA-Undesirable outputs模型-ex1Nm%mmd2FChwF3peNvDmPjOQyQAAP2ISibpxXGJp3xN%mmd2FLjp2FBR07cubq%mmd2FXYdhV4gDVQt%mmd2FoCKoEp5EK1KJeb1VzNA==;面板Tobit回归模型-gsgKSNbQgEDAeEjgbsw5ycNKvHXQz8nKP559%mmd2FDxLrz%mmd2FmT9tH9w90V%mmd2BZmck5rQXQzLNnsxk2IHZc=,青岛科技大学学报(社会科学版)-pcode=CJFQ&pykm=QDHS,,青岛科技大学经济与管理学院;北京师范大学珠海分校国际商学院,社会科学Ⅱ辑; 基础科学; 工程科技Ⅰ辑; 经济与管理科学,数学; 环境科学与资源利用; 宏观经济管理与可持续发展; 经济体制改革,"山东省城市绿色创新效率的有效提升,对推动山东省的创新发展和可持续发展具有重要意义。基于绿色创新视角,从投入-产出角度构建城市绿色创新效率评价指标体系,测算山东省17个城市2008—2017年的绿色创新效率,并对山东省绿色创新效率影响因素进行判定。结果表明,山东省整体的绿色创新效率呈稳步上升趋势,且仍有上升空间;各城市绿色创新效率存在差异,特别是沿海与内陆城市之间存在较大差距;从山东省城市绿色创新效率的影响因素来看,环境规制强度、经济开放程度、产业结构模式及政府资助水平与城市绿色创新效率之间存在显著的正相关关系。根据以上分析结果,并结合山东省实际情况,提出落实环境规制政策、促进经济对外开放、完善和优化产业结构、加强政府支持力度等提升山东省城市绿色创新效率的政策建议。",山东省城市绿色创新效率评价与影响因素研究,journal,b962ee558ce35789b16225a27ce6d2c1,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=QDHS201904004&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,姚靖宇-41567521;41567521&靳鹏-07061169;07061169&朱外明-33173179;33173179&胡笑旋-07061088;07061088,O221;TP18,,多星调度-oLRVRfQB6C5rT2Yt1y14XOHS3HuZbFBrU8uY%mmd2BamsjCpcacItyZS8pU%mmd2F9g%mmd2BDUwbsX;区域目标-%mmd2FMsMUwYKkmnc3e5c3HuD3oXPvdoyijfoWtV6CZWa0Y7HOucUb4LTHzc2XgfK5U2x;动态分割-UuIHaaBe%mmd2Fa626%mmd2BqlmHVlDyxUpjpvafN3dBQg64jb1xIVTLEQM44ozXHZtqejUaLz;权重策略-1huVVCc48O7gKnESg1Tk7eJRKwE64kz6MEJ8R2OwfTn26kxlBYrQzfljFLBvu%mmd2FFP,系统工程与电子技术-pcode=CJFQ&pykm=XTYD,,合肥工业大学管理学院;过程优化与智能决策教育部重点实验室,信息科技; 基础科学,数学; 自动化技术,"利用多星对区域目标的协同观测在工程应用方面的需求日益复杂化,当目标区域内待观测目标的重要性不同,其对应的观测收益不同。那么如何在资源有限的情况下,安排观测方案使观测总收益最大是亟待解决的问题。考虑区域目标内部观测收益不均等的实际情况,建立了区域目标内部收益随时间可变的多星调度优化模型,设计了条带动态分割方法（dynamic stripe segmentation method,DSSM）,提出了基于权重优先策略的启发式算法（weight priority strategy heuristic,WPSH）和基于随机邻域的局部搜索算法（random neighborhood local search,RNLS）,使求解结果对应的观测收益最大,最后通过仿真实验验证DSSM算法比并行分割算法观测收益提高约19%,覆盖率提高约22%;RNLS算法比WPSH算法的基础上平均提升观测收益约4.5%,且求解质量较稳定。",面向收益不均等区域目标的多星调度问题,journal,c525d839497c5f25937c85bbd326451f,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=XTYD202003019&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,金贺荣-09314872;09314872&韩民峰-40215433,TB331;TB115,,复合样件-Er520kziZlOUg09SLg8Pu0Z0b7ee%mmd2F7Ii9zuBDud%mmd2F0XXX0SZb4WxmN5%mmd2BHoaBuNVmg;热压缩实验-oJS3gIbxT%mmd2FzGA3s9LxSMhJn0vK2Q%mmd2BQplPFoPH8s4K6%mmd2FjC%mmd2BWzqzCfi%mmd2Bu12grqACqT;样件偏斜-zie5EK4KfJq1h%mmd2FM9Vo3p2oi%mmd2Bxna3lC542qzF8NgIPantq7KDzp2lwvsrvHzCl9T2;数值模拟-9dk9NZnagAs6RcchubLocanc3BFh21JgTL4lonGN28gHrLTLKXX%mmd2B58EJMHvnsqH9,塑性工程学报-pcode=CJFQ&pykm=SXGC,,燕山大学先进锻压成形技术与科学教育部重点实验室;燕山大学河北省并联机器人与机电系统实验室;燕山大学机械工程学院,理工B(化学化工冶金环境矿业); 理工A(数学物理力学天地生); 理工C(机电航空交通水利建筑能源),数学; 材料科学; 工业通用技术及设备,"应用MSC. Marc软件建立不锈钢316L/微合金钢EH40复合样件热压缩成形的三维热力耦合有限元模型,对复合样件的热压缩过程进行仿真研究。有限元仿真对双金属层厚度值的预测误差在10%以内,可用于对双金属材料复合比变化规律的研究。通过有限元仿真试错法代替实验试错法,分析实验过程中复合样件频繁出现压偏现象的原因。对比实验与仿真结果发现,复合样件各组成部分同轴度精度保持不良是导致样件偏斜的主要原因。316L不锈钢中间层0. 1 mm的偏移会导致样件在50%以上的较大压缩变形时出现严重偏斜现象。最终通过优化样件设计与装夹方案,有效解决了样件偏斜问题,保证了实验的有效开展。",316L/EH40复合样件热压缩有限元模拟与实验研究,journal,13419602dd90561aa1a6b46d22be5d49,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=SXGC201906022&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,宋星-40988705&贾红丽-39740060&王谦-39901018&赵汝东-41507122,O211.61;E92,,时间序列挖掘-cb77hmvmKihMgbb8n0AsaKPpoPGBxqL6DIjcPqjZNSQ%mmd2B2N3fZxTO8V3RQxaF%mmd2B6D512ZRYRyyC8M=;合成旅-k6hbwQ%mmd2Bo3JaQ8s8zOvrT%mmd2Fjn0jpKelrWh0pnoeofnBwtCxhcw8eEBWCGtSH4nlWyp;装备维修保障-MytG3%mmd2FNeYR7LtaSYxNf6tBlHkA1oZ%mmd2BDk1dypk%mmd2FbgjqRq5EohtL9hyhrRs3YSYl6Xq4vkdQ4es0M=;Apriori算法-e9l7TUwHD5BAd4AurxzJ%mmd2F7HJL1FHS6ECEigKA6XmXxX7138LCmamuz48NtgHo3kk;差分整合移动平均自回归-%mmd2BPKopxOp9NZiWo5CuKfhOPZh89VUJ%mmd2FrOpG8DoLvzlH4A86vT0pxV7BK55w%mmd2BygWgh%mmd2BHTbtCn7%mmd2B2xJWsBFug0KBTkC9N1l3t18;支持向量回归机-ocS9DOIVmPvBSmoDenkgaBN97uL2q8QzOSQVdn7EFr3%mmd2FlwWL2Lbw60rsmj%mmd2B6AGAWzxhwEona4TM=;预测-dOrRGMvviUg22yRfhVuwPSFrRgXu%mmd2BM3%mmd2FPd556X1RqJNUPaYqqkeKdQ==,系统工程与电子技术-pcode=CJFQ&pykm=XTYD,,,信息科技; 基础科学; 工程科技Ⅱ辑,数学; 武器工业与军事技术,"针对现有的预测方法参数较多、精确度不高的问题,采用了时间序列挖掘的方法对合成旅未来一定时期内的装备维修保障能力进行预测。首先建立了指标体系,利用""装备云""平台相关数据对指标及装备维修保障能力随时间变化的序列进行计算;然后对多元时间序列进行线段化拟合、聚类、符号化表达、Apriori关联挖掘,通过差分整合移动平均自回归-支持向量回归组合模型及反向传播神经网络对合成旅装备维修保障能力进行预测,最后通过事例验证了本文所提出的方法。",基于时间序列挖掘的合成旅装备维修保障能力预测,journal,ff77fd036b7559df8081adc9dda6e7c9,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=XTYD202004020&DbName=CJFDLAST2020&DbCode=CJFQ,2020
,郝亮亮-35943456&张金生-35497605&李婷-36354424&马啸宇-43243922,E927;TP182;O225,,评估系统-inK9lxqkXTDkAOksC2Y9gTkScNrcRFu%mmd2B1Amb3f7asDpZue%mmd2F363pfh7fvzx4wsvif;指标体系-vKfJJKxkJYPcJDkMloQtgDS7unmc1Sfbjq9nm7aTIxTwcR28fAgQnUfxmp3AFPN1;层次分析法-群组决策特征根算法-pW20WxLcGDrJBd%mmd2BuxrhuiDnkhfb3uksw7uNJhute6m1fzndnwYB8%mmd2BAvyBdSo1ZDVrt0y3U0czkUmOENcbyD7JdDK7XFBxl%mmd2BqoGAak86WAtQ=;专家系统-GmGkkWfFp5yq5DvvaSebtOGqFV4T6fLwE9tHQng1vvfmueF1isaNQ%mmd2B6MjNlNQ6Bh,系统工程与电子技术-pcode=CJFQ&pykm=XTYD,,,电子技术及信息科学; 理工A(数学物理力学天地生); 理工C(机电航空交通水利建筑能源),数学; 武器工业与军事技术; 自动化技术,"为提高某导弹模拟训练系统中评估的客观性与准确性,确立以准确性、熟练度和操作人员状态为主的评价指标体系,构建适当的数学模型计算各子指标分值,将子指标定量化,解决由考官进行评判时存在的主观性强、标准不统一等缺点。利用专家系统,对考评过程中需要的专业知识和评价规则进行存储,实现了评分过程的自动化。针对层次分析法（analytic hierarchy process,AHP）需要多次赋值保证一致性和群组决策特征根法（group eigenvalue method,GEM）结构模糊的缺点,提出了基于AHP和GEM融合算法的权重设置方案,利用AHP-GEM算法对各子指标得分进行加权评估,最终形成了一套合理有效的模拟训练评估系统。最后,通过与考官人工评分的方法进行比较,验证了所提评分系统的合理性和准确性。",导弹武器模拟训练考评系统设计,journal,0e875b53df495f51bc889e6cce47e566,https://kns.cnki.net/KCMS/detail/detail.aspx?FileName=XTYD202004016&DbName=CJFDLAST2020&DbCode=CJFQ,2020
